Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Efficiency
0.25,11,1.5,45,3,0.05,2000,0.36
0.25,11,1.5,45,3,0.05,2500,0.00
0.25,11,1.5,60,3,0.05,500,0.27
0.25,11,1.5,60,3,0.05,1000,0.30
0.25,11,1.5,60,3,0.05,1500,0.32
0.25,11,1.5,60,3,0.05,2000,0.31
0.25,11,1.5,60,3,0.05,2500,0.05
0.75,3,0.25,30,3,0.05,500,0.03
0.75,3,0.25,30,3,0.05,1000,0.04
0.75,3,0.25,30,3,0.05,1500,0.04
0.75,3,0.25,30,3,0.05,2000,0.04
0.75,3,0.25,30,3,0.05,2500,0.05
0.75,3,0.25,45,3,0.05,500,0.06
0.75,3,0.25,45,3,0.05,1000,0.07
0.75,3,0.25,45,3,0.05,1500,0.07
0.75,3,0.25,45,3,0.05,2000,0.07
0.75,3,0.25,45,3,0.05,2500,0.08
0.75,3,0.25,60,3,0.05,500,0.05
0.75,3,0.25,60,3,0.05,1000,0.06
0.75,3,0.25,60,3,0.05,1500,0.06
0.75,3,0.25,60,3,0.05,2000,0.06
0.75,3,0.25,60,3,0.05,2500,0.06
0.75,3,0.75,30,3,0.05,500,0.08
0.75,3,0.75,30,3,0.05,1000,0.09
0.75,3,0.75,30,3,0.05,1500,0.09
0.75,3,0.75,30,3,0.05,2000,0.10
0.75,3,0.75,30,3,0.05,2500,0.10
0.75,3,0.75,45,3,0.05,500,0.03
0.75,3,0.75,45,3,0.05,1000,0.02
0.75,3,0.75,45,3,0.05,1500,0.02
0.75,3,0.75,45,3,0.05,2000,0.03
0.75,3,0.75,45,3,0.05,2500,0.03
0.75,3,0.75,60,3,0.05,500,0.01
0.75,3,0.75,60,3,0.05,1000,0.01
0.75,3,0.75,60,3,0.05,1500,0.01
0.75,3,0.75,60,3,0.05,2000,0.01
0.75,3,0.75,60,3,0.05,2500,0.01
0.75,3,1.25,30,3,0.05,500,0.00
0.75,3,1.25,30,3,0.05,1000,0.00
0.75,3,1.25,30,3,0.05,1500,0.00
0.75,3,1.25,30,3,0.05,2000,0.00
0.75,3,1.25,30,3,0.05,2500,0.00
0.75,3,1.25,45,3,0.05,500,0.00
0.75,3,1.25,45,3,0.05,1000,0.00
0.75,3,1.25,45,3,0.05,1500,0.00
0.75,3,1.25,45,3,0.05,2000,0.00
0.75,3,1.25,45,3,0.05,2500,0.00
0.75,3,1.25,60,3,0.05,500,0.05
