Arc Center Distance,Diameter,Width,Pitch,Blade Count,Rotational Speed,Thrust
1.25,7,0.75,30,3,1500,11.15273069
1.25,7,0.75,30,3,2000,20.79076828
1.25,7,0.75,30,3,2500,31.81770447
1.25,7,0.75,45,3,500,0.4125794488
1.25,7,0.75,45,3,1000,1.633648481
1.25,7,0.75,45,3,1500,4.247145847
1.25,7,0.75,45,3,2000,7.757678146
1.25,7,0.75,45,3,2500,12.21254081
1.25,7,0.75,60,3,500,0.5062106067
1.25,7,0.75,60,3,1000,1.955792225
1.25,7,0.75,60,3,1500,4.265882759
1.25,7,0.75,60,3,2000,8.066212902
1.25,7,0.75,60,3,2500,12.31024028
1.25,7,1.25,30,3,500,1.684999317
1.25,7,1.25,30,3,1000,6.638668147
1.25,7,1.25,30,3,1500,15.01854828
1.25,7,1.25,30,3,2000,26.41796404
1.25,7,1.25,30,3,2500,40.40914364
1.25,7,1.25,45,3,500,0.9437657697
1.25,7,1.25,45,3,1000,3.809726749
1.25,7,1.25,45,3,1500,7.691441953
1.25,7,1.25,45,3,2000,14.98001954
1.25,7,1.25,45,3,2500,21.7126954
1.25,7,1.5,30,3,500,1.6646066
1.25,7,1.5,30,3,1000,6.509010975
1.25,7,1.5,30,3,1500,14.69804017
1.25,7,1.5,30,3,2000,34.82377221
1.25,7,1.5,30,3,2500,62.95948646
1.25,7,1.5,45,3,500,0.8370265755
1.25,7,1.5,45,3,1000,3.374736099
1.25,7,1.5,45,3,1500,8.084240803
1.25,7,1.5,45,3,2000,13.29004419
1.25,9,0.25,30,3,500,1.03805778
1.25,9,0.25,30,3,1000,4.306163843
1.25,9,0.25,30,3,1500,7.65261491
1.25,9,0.25,45,3,500,1.197328467
1.25,9,0.25,45,3,1000,4.650895989
1.25,9,0.25,45,3,1500,8.554002121
1.25,9,0.25,45,3,2000,16.08614713
1.25,9,0.25,45,3,2500,20.33265024
1.25,9,0.25,60,3,500,1.209357038
1.25,9,0.25,60,3,1000,4.721772602
1.25,9,0.25,60,3,1500,10.98407329
1.25,9,0.25,60,3,2000,18.96612819
1.25,9,0.25,60,3,2500,27.94640936
1.25,9,0.75,30,3,500,1.884218812
1.25,9,0.75,30,3,1000,10.63041307
1.25,9,0.75,30,3,1500,24.5610395
1.25,9,0.75,30,3,2000,42.11897933
1.25,9,0.75,30,3,2500,54.27021218
1.25,9,0.75,45,3,500,2.795242616
1.25,9,0.75,45,3,1000,13.86953235
1.25,9,0.75,45,3,1500,29.74454078
1.25,9,0.75,45,3,2000,57.90599765
1.25,9,0.75,45,3,2500,88.48831971
1.25,9,0.75,60,3,1500,12.52083025
1.25,9,0.75,60,3,2500,33.06220974
1.25,9,1.25,30,3,500,3.451044261
1.25,9,1.25,30,3,1000,15.76903194
1.25,9,1.25,30,3,1500,31.62833741
1.25,9,1.25,30,3,2000,65.84662949
1.25,9,1.25,30,3,2500,102.6928333
1.25,9,1.25,45,3,500,4.43516053
1.25,9,1.25,45,3,1000,15.63539333
1.25,9,1.25,45,3,1500,38.64120391
1.25,9,1.25,45,3,2000,64.61953063
1.25,9,1.25,45,3,2500,103.901644
1.25,9,1.25,60,3,500,2.096816012
1.25,9,1.25,60,3,1000,8.49745379
1.25,9,1.25,60,3,1500,18.24422239
1.25,9,1.25,60,3,2000,29.34189592
1.25,9,1.25,60,3,2500,41.22939652
1.25,9,1.5,30,3,500,4.741225946
1.25,9,1.5,30,3,1000,19.31135628
1.25,9,1.5,30,3,1500,37.71642126
1.25,9,1.5,30,3,2000,75.35999803
1.25,9,1.5,30,3,2500,100.6249116
1.25,9,1.5,45,3,500,3.395513718
1.25,9,1.5,45,3,1000,19.65004062
1.25,9,1.5,45,3,2500,93.79771105
1.25,11,0.25,30,3,1000,7.700822286
1.25,11,0.25,45,3,1000,8.876914694
1.25,11,0.25,45,3,1500,17.36049968
1.25,11,0.25,60,3,500,1.703686541
1.25,11,0.25,60,3,1000,6.831246648
1.25,11,0.25,60,3,1500,23.36559148
1.25,11,0.25,60,3,2000,34.44870827
1.25,11,0.75,30,3,500,4.742251848
1.25,11,0.75,30,3,1000,19.63407718
1.25,11,0.75,30,3,1500,32.91610218
1.25,11,0.75,30,3,2000,64.61892722
1.25,11,0.75,45,3,500,5.138817974
1.25,11,0.75,45,3,1000,27.3076437
1.25,11,0.75,45,3,2000,107.9842647
1.25,11,0.75,60,3,500,2.745743671
1.25,11,0.75,60,3,1000,17.31463688
1.25,11,0.75,60,3,1500,34.5537556
1.25,11,1.25,30,3,500,9.902767126
1.25,11,1.25,30,3,1000,34.31911319
1.25,11,1.25,30,3,1500,76.06604149
1.25,11,1.25,30,3,2000,116.9122479
1.25,11,1.25,45,3,500,8.858137372
1.25,11,1.25,45,3,1000,44.78981663
1.25,11,1.25,45,3,1500,103.3984438
1.25,11,1.25,45,3,2000,155.5182822
1.25,11,1.25,60,3,500,4.067984851
1.25,11,1.25,60,3,1000,15.86337268
1.25,11,1.25,60,3,1500,27.48009661
1.25,11,1.25,60,3,2000,65.38085909
1.25,11,1.5,30,3,500,9.018796592
1.25,11,1.5,30,3,1000,36.54278236
1.25,11,1.5,30,3,1500,83.64702579
1.25,11,1.5,30,3,2000,149.8238033
1.75,7,0.75,30,3,1500,2.44849826
1.75,7,0.75,30,3,2000,4.278032609
1.75,7,0.75,30,3,2500,6.607421321
1.75,7,0.75,45,3,2500,7.49335663
1.75,7,1.5,30,3,500,0.5735415552
1.75,7,1.5,30,3,1000,2.340917064
1.75,7,1.5,30,3,1500,5.219555797
1.75,7,1.5,30,3,2000,8.524718387
1.75,7,1.5,30,3,2500,12.43594416
1.75,9,0.25,30,3,500,0.4223247251
