Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Thrust,Efficiency
0.25,9,0.75,30,3,0.05,1500,31.32589782,0.21,
0.25,9,0.75,30,3,0.05,2000,45.73051264,0.17,
0.25,9,0.75,30,3,0.05,2500,63.68871472,0.15,
0.25,9,0.75,45,3,0.05,500,3.930630183,0.27,
0.25,9,0.75,45,3,0.05,1000,17.70169892,0.33,
0.25,9,0.75,45,3,0.05,1500,39.8315348,0.34,
0.25,9,0.75,45,3,0.05,2000,72.35484945,0.36,
0.25,9,0.75,45,3,0.05,2500,111.6316456,0.37,
0.25,9,0.75,60,3,0.05,500,3.40919108,0.27,
0.25,9,0.75,60,3,0.05,1000,16.61176315,0.41,
0.25,9,0.75,60,3,0.05,1500,26.37270623,0.24,
0.25,9,0.75,60,3,0.05,2000,33.48050235,0.14,
0.25,9,0.75,60,3,0.05,2500,107.3488243,0.48,
0.25,9,1.25,30,3,0.05,500,5.571663494,0.24,
0.25,9,1.25,30,3,0.05,1000,12.09059594,0.10,
0.25,9,1.25,30,3,0.05,1500,37.44777064,0.14,
0.25,9,1.25,30,3,0.05,2000,89.56626849,0.24,
0.25,9,1.25,30,3,0.05,2500,110.8527617,0.20,
0.25,9,1.25,45,3,0.05,500,5.663012311,0.39,
0.25,9,1.25,45,3,0.05,1000,23.20150941,0.41,
0.25,9,1.25,45,3,0.05,1500,52.09257303,0.43,
0.25,9,1.25,45,3,0.05,2000,86.40196036,0.39,
0.25,9,1.25,45,3,0.05,2500,143.2572376,0.45,
0.25,9,1.25,60,3,0.05,500,3.475602154,0.24,
0.25,9,1.25,60,3,0.05,1000,12.9157583,0.22,
0.25,9,1.25,60,3,0.05,1500,32.16389626,0.28,
0.25,9,1.25,60,3,0.05,2000,54.04356367,0.27,
0.25,9,1.25,60,3,0.05,2500,81.95044901,0.27,
0.25,9,1.5,30,3,0.05,500,4.451258422,0.11,
0.25,9,1.5,30,3,0.05,1000,34.60658026,0.26,
0.25,9,1.5,30,3,0.05,1500,73.49922204,0.23,
0.25,9,1.5,30,3,0.05,2000,118.2264046,0.23,
0.25,9,1.5,30,3,0.05,2500,168.1776575,0.22,
